carat,cut,color,clarity,depth,table,price,x,y,z
2.0,Fair,E,SI2,59.7,64.3,6250,9.14,9.11,5.46
2.84,Fair,E,VVS2,58.4,50.0,9961,18.67,18.54,10.9
2.25,Premium,G,VVS2,55.1,60.8,8074,13.36,13.2,7.36
1.39,Ideal,J,SI2,57.9,64.6,4363,8.39,8.25,4.86
1.24,Premium,E,VVS2,64.3,60.9,3841,6.06,6.14,3.9
2.91,Very Good,I,VVS2,59.2,57.8,8459,12.08,12.05,7.15
2.69,Premium,J,SI2,57.7,52.6,15756,16.26,16.3,9.38
0.64,Premium,E,SI2,62.7,61.7,1857,4.41,4.47,2.77
2.05,Good,D,VVS1,63.9,55.0,13529,11.76,11.82,7.51
0.67,Ideal,J,IF,62.5,61.1,2366,2.82,2.87,1.76
3.14,Good,J,IF,55.8,50.8,20496,19.68,19.44,10.98
1.61,Premium,I,VS1,63.5,52.6,10605,7.98,8.08,5.07
0.84,Fair,F,VVS2,59.3,65.9,3393,4.88,4.92,2.89
0.48,Very Good,G,VS1,63.9,66.0,2103,2.36,2.38,1.51
2.04,Premium,E,I1,62.2,63.2,9728,10.61,10.52,6.6
2.11,Ideal,E,VS1,60.7,58.2,7153,14.48,14.71,8.79
3.16,Good,H,SI1,60.6,68.7,11208,16.4,16.18,9.94
1.79,Fair,E,I1,61.7,50.0,6188,9.35,9.31,5.77
3.14,Very Good,H,SI2,57.3,61.8,19050,13.38,13.39,7.67
0.55,Premium,I,VVS1,63.7,64.2,2804,2.38,2.41,1.52
2.63,Fair,F,I1,63.8,66.3,6670,14.16,14.18,9.03
1.43,Good,E,IF,61.0,66.0,6752,9.08,9.21,5.54
0.45,Ideal,G,VS2,62.6,51.4,2880,2.88,2.88,1.8
1.66,Ideal,H,SI1,64.8,54.0,5166,6.8,6.9,4.41
2.34,Very Good,E,SI2,64.6,55.2,14306,9.67,9.52,6.25
1.56,Ideal,J,I1,59.8,56.5,7043,10.85,10.79,6.49
1.2,Very Good,H,VVS1,57.9,60.1,5558,5.95,5.89,3.45
2.66,Fair,H,IF,60.8,68.0,9404,13.94,14.09,8.48
2.15,Premium,E,I1,62.1,68.0,11445,11.43,11.62,7.1
3.3,Ideal,F,VVS1,58.5,60.5,20622,13.9,14.15,8.13
2.11,Fair,I,I1,60.1,52.0,7770,14.59,14.46,8.77
3.18,Premium,D,VVS1,62.2,50.6,15665,20.37,20.42,12.67
2.43,Fair,D,I1,57.1,52.4,11025,12.69,12.58,7.25
3.45,Good,E,SI2,58.9,65.9,8732,17.56,17.52,10.34
0.99,Fair,J,VS2,64.1,56.6,6348,5.0,4.95,3.2
1.4,Good,E,VS2,57.7,52.7,7716,6.88,6.89,3.97
1.14,Premium,J,I1,61.2,51.9,4283,5.17,5.14,3.16
0.69,Fair,H,VVS1,60.3,60.9,3546,3.71,3.73,2.24
1.58,Fair,E,SI2,59.5,61.7,10884,10.13,10.05,6.03
1.83,Fair,D,SI2,64.8,62.9,9774,9.49,9.4,6.15
1.97,Very Good,I,I1,56.1,52.3,7353,10.7,10.61,6.0
2.2,Fair,E,SI2,61.2,53.6,7406,9.06,8.93,5.54
1.71,Ideal,E,IF,61.5,65.1,11575,10.47,10.52,6.44
0.81,Fair,I,SI1,60.7,58.9,3982,3.57,3.52,2.17
2.61,Very Good,J,I1,56.8,56.2,7328,15.07,15.02,8.56
1.25,Ideal,E,VS1,64.0,61.2,8410,8.7,8.65,5.57
3.49,Ideal,H,VVS2,62.0,55.3,17879,17.62,17.66,10.92
1.04,Ideal,G,VVS2,63.1,63.1,6424,6.92,6.89,4.37
0.53,Fair,F,IF,63.8,62.2,1387,2.79,2.83,1.78
1.67,Premium,I,SI2,58.6,64.2,6647,10.5,10.45,6.15
0.8,Very Good,E,VVS1,58.0,55.3,5225,4.1,4.17,2.38
1.06,Fair,E,SI1,56.8,61.7,3507,5.4,5.49,3.07
1.1,Good,J,VS2,55.4,62.8,3707,4.87,4.89,2.7
3.33,Very Good,D,VS1,56.3,56.6,22054,22.97,23.04,12.93
1.05,Ideal,F,IF,59.1,56.8,2963,4.42,4.43,2.61
1.12,Premium,E,VS2,59.6,70.0,2716,6.89,6.94,4.11
2.35,Fair,J,I1,58.3,53.2,9996,11.99,11.83,6.99
0.68,Very Good,G,I1,57.0,51.5,4720,4.01,4.03,2.29
3.18,Ideal,G,VS2,55.6,66.4,18467,13.25,13.13,7.37
3.3,Premium,F,I1,56.1,64.2,14900,14.73,14.76,8.26
1.17,Premium,H,VS1,62.8,56.9,7199,6.91,6.85,4.34
0.58,Premium,D,VS1,62.6,61.9,3985,3.08,3.14,1.93
3.24,Good,I,VVS2,63.2,57.5,9673,13.34,13.52,8.43
0.61,Ideal,J,SI2,56.5,65.8,2965,2.68,2.71,1.51
0.48,Ideal,H,VVS1,56.2,69.9,2393,2.14,2.17,1.2
1.58,Ideal,G,VVS1,62.5,52.6,9342,7.15,7.13,4.47
3.1,Premium,F,I1,62.3,51.9,12997,16.55,16.61,10.31
2.25,Premium,E,I1,57.5,51.4,6521,11.23,11.19,6.46
1.39,Good,G,VVS1,63.0,52.3,5381,8.25,8.23,5.2
3.13,Very Good,G,VS1,55.1,69.7,14497,14.9,15.03,8.21
3.14,Fair,D,VS1,60.7,68.7,19606,17.37,17.25,10.54
0.37,Fair,H,SI2,62.5,57.7,2089,1.52,1.5,0.95
0.48,Ideal,J,IF,64.4,61.6,1824,2.14,2.14,1.38
1.19,Premium,D,VS2,59.1,51.9,8145,7.08,6.96,4.18
1.87,Premium,G,SI1,55.5,58.6,7522,8.95,8.82,4.97
3.13,Premium,J,VS2,61.1,50.8,13316,19.14,19.3,11.69
2.33,Good,G,VVS1,57.6,53.7,9189,9.49,9.38,5.47
0.34,Very Good,G,VVS1,55.3,67.1,1535,1.98,2.01,1.09
1.14,Fair,G,IF,63.4,65.5,6501,4.63,4.55,2.94
2.05,Good,E,VS2,62.4,65.2,6788,8.22,8.14,5.13
2.63,Premium,H,VVS2,63.8,52.6,17788,16.41,16.58,10.47
3.43,Premium,G,VVS1,64.4,60.5,23047,18.53,18.37,11.93
0.71,Premium,H,I1,55.4,59.9,3649,4.77,4.86,2.64
0.72,Ideal,G,I1,57.7,57.4,4050,3.26,3.3,1.88
2.45,Premium,D,VVS1,57.7,63.0,7318,14.47,14.69,8.35
0.42,Fair,J,VVS1,64.5,58.3,1959,1.79,1.79,1.15
2.5,Very Good,J,SI1,60.5,60.8,8477,10.23,10.39,6.19
0.6,Fair,F,VVS2,61.6,53.1,2389,4.05,4.02,2.49
3.44,Premium,D,VS1,63.9,68.3,9320,18.46,18.6,11.8
1.17,Ideal,G,VVS1,61.9,66.3,4061,6.66,6.58,4.12
1.97,Ideal,E,VVS1,62.8,68.7,11377,13.52,13.46,8.49
0.82,Fair,F,I1,64.3,58.3,5495,3.72,3.69,2.39
2.72,Premium,J,VS2,57.0,64.1,8552,14.43,14.29,8.23
0.45,Good,E,SI1,56.7,55.3,2029,2.62,2.65,1.49
0.59,Good,E,VVS2,58.8,53.1,1963,2.76,2.75,1.62
3.44,Good,J,VVS1,64.1,53.2,21812,23.73,23.32,15.21
1.18,Very Good,E,IF,55.5,68.0,2854,7.8,7.78,4.33
0.72,Very Good,H,I1,55.6,66.1,3504,3.82,3.88,2.12
2.76,Ideal,E,I1,62.1,51.8,11312,16.25,16.12,10.09
1.87,Ideal,I,SI2,56.5,68.3,5586,8.33,8.34,4.71
0.87,Ideal,E,SI1,55.8,58.7,3537,3.95,3.92,2.2
2.16,Fair,F,VVS1,63.4,58.8,15038,10.71,10.64,6.79
0.36,Very Good,I,VS1,57.5,56.3,1597,1.56,1.53,0.9
2.63,Ideal,J,I1,56.5,63.0,14437,15.26,15.4,8.62
2.46,Fair,D,SI1,61.0,60.4,16942,9.99,9.98,6.09
0.24,Very Good,D,I1,64.9,57.9,938,1.1,1.11,0.71
0.35,Very Good,I,I1,57.6,67.2,1728,1.95,1.93,1.12
3.13,Premium,D,VS1,59.2,65.6,11609,14.84,14.87,8.79
3.44,Ideal,I,IF,56.2,60.4,9252,21.34,20.91,11.99
3.32,Premium,D,VS2,58.6,54.8,12307,19.31,19.23,11.32
2.08,Good,D,SI1,61.6,61.8,13125,13.11,12.95,8.08
1.2,Very Good,J,IF,58.2,51.3,3753,8.02,7.86,4.67
2.65,Good,E,VVS1,58.1,65.2,17623,13.47,13.57,7.83
0.22,Good,H,VS1,57.4,59.2,759,1.15,1.13,0.66
0.94,Ideal,J,IF,62.8,59.6,3657,4.56,4.62,2.86
0.81,Fair,I,VVS1,59.3,62.6,3563,5.33,5.4,3.16
1.22,Premium,H,SI2,59.4,60.2,8304,7.01,7.09,4.16
1.7,Premium,D,I1,59.2,59.9,4875,11.35,11.41,6.72
3.0,Very Good,G,IF,64.7,60.9,16598,13.5,13.5,8.73
0.56,Very Good,D,I1,57.4,59.8,1887,2.57,2.54,1.48
2.37,Fair,I,I1,64.5,60.8,11944,16.18,16.11,10.44
1.33,Very Good,H,SI2,57.7,67.5,7811,8.81,8.81,5.08
2.85,Very Good,I,VVS1,61.0,65.2,19893,12.14,12.05,7.41
1.81,Good,H,IF,60.6,54.9,6100,8.35,8.37,5.06
0.63,Ideal,G,SI2,56.2,50.4,2969,2.53,2.48,1.42
0.44,Fair,J,SI1,62.3,50.4,2252,2.68,2.69,1.67
1.88,Good,F,I1,64.6,59.8,9748,13.09,12.87,8.46
2.35,Very Good,I,SI1,61.2,64.0,6776,14.21,14.21,8.7
1.22,Fair,H,VS1,57.5,58.4,7260,8.45,8.44,4.86
1.66,Fair,D,VS2,61.7,64.8,5311,10.6,10.65,6.54
1.15,Ideal,E,VVS1,57.0,68.1,7021,5.44,5.36,3.1
1.02,Ideal,E,VVS2,60.5,56.7,4648,6.49,6.47,3.93
3.31,Premium,F,VVS2,62.2,68.8,9875,18.31,18.06,11.39
2.98,Premium,J,VVS2,59.8,61.4,11353,16.81,17.05,10.05
2.89,Very Good,I,VVS2,65.0,54.6,7702,16.83,16.57,10.94
0.63,Very Good,I,I1,60.1,61.7,1346,4.02,4.06,2.42
3.47,Good,F,IF,58.9,63.4,17179,18.97,18.73,11.17
1.85,Premium,E,VS2,64.9,63.0,12828,7.43,7.46,4.82
1.13,Good,I,SI2,55.7,63.5,3060,5.79,5.9,3.23
0.25,Good,E,VVS1,60.3,50.9,793,1.37,1.39,0.83
2.56,Good,I,SI2,57.9,51.7,14423,17.37,17.64,10.06
0.88,Fair,D,I1,57.9,65.3,2958,5.7,5.59,3.3
3.26,Fair,D,IF,59.7,69.4,10060,15.59,15.9,9.31
0.66,Premium,J,VS2,58.8,62.8,3206,3.03,3.01,1.78
1.88,Fair,E,SI1,62.0,58.0,7600,8.97,8.93,5.56
3.45,Premium,J,VVS2,55.9,63.6,18329,23.12,22.8,12.92
0.72,Good,J,VS1,59.0,70.0,2752,3.67,3.7,2.17
2.17,Premium,H,SI1,57.2,60.2,9027,10.61,10.5,6.07
0.95,Ideal,H,VS1,59.7,59.6,3013,5.2,5.2,3.1
2.93,Fair,I,IF,63.8,52.8,9103,14.74,14.84,9.4
2.15,Very Good,F,SI2,55.8,53.8,10840,9.36,9.38,5.22
2.15,Very Good,G,SI1,58.0,56.8,13226,8.99,9.06,5.21
3.09,Ideal,D,VS2,57.6,57.5,10644,17.66,17.85,10.17
1.73,Fair,I,VVS2,55.9,60.1,8221,10.59,10.6,5.92
3.04,Very Good,F,SI2,56.5,66.9,19965,20.8,20.78,11.75
2.43,Fair,H,SI1,64.5,67.9,9382,13.14,13.27,8.48
0.59,Good,D,IF,63.3,53.3,2347,2.89,2.84,1.83
1.61,Ideal,H,SI1,58.6,53.2,9931,9.21,9.16,5.4
1.15,Ideal,G,VVS1,55.9,63.8,6418,5.51,5.56,3.08
2.48,Fair,D,IF,55.5,64.8,9165,13.51,13.25,7.5
0.28,Premium,H,VS1,58.7,52.7,1669,1.52,1.52,0.89
2.31,Fair,J,VS2,57.0,58.6,12478,11.38,11.43,6.49
1.43,Very Good,F,I1,63.1,57.3,4322,9.75,9.64,6.15
3.17,Ideal,H,VVS2,64.3,56.6,16696,17.86,18.01,11.48
1.59,Ideal,F,VVS2,58.9,50.3,4623,8.24,8.35,4.85
0.74,Fair,D,SI1,60.2,64.2,4720,5.16,5.11,3.11
2.19,Very Good,D,IF,63.7,57.8,8734,13.68,13.79,8.71
2.04,Ideal,H,I1,61.2,68.6,9559,10.93,10.88,6.69
0.99,Premium,F,IF,56.8,68.5,5304,4.39,4.33,2.49
1.41,Very Good,H,I1,57.0,55.4,8414,8.73,8.86,4.98
3.35,Very Good,F,SI1,59.6,51.5,20369,19.84,19.54,11.82
2.77,Very Good,H,I1,56.9,60.6,12024,17.09,17.15,9.72
1.8,Good,D,VVS1,59.9,65.6,9909,11.07,11.19,6.63
1.47,Fair,D,I1,63.9,64.3,9745,6.74,6.79,4.31
0.88,Fair,I,I1,59.7,58.3,3851,4.16,4.08,2.48
1.8,Very Good,D,I1,61.2,56.8,8696,11.19,11.36,6.85
2.46,Fair,D,VVS2,58.1,50.4,12330,14.91,14.9,8.66
0.74,Premium,I,SI1,62.3,66.9,1468,5.12,5.08,3.19
0.25,Fair,J,I1,61.0,67.2,779,1.11,1.11,0.68
1.97,Fair,J,I1,61.1,66.6,11250,8.69,8.71,5.31
2.48,Premium,E,IF,59.9,55.1,10405,15.61,15.79,9.35
2.49,Good,H,VS2,62.7,60.2,7570,16.34,16.32,10.25
3.06,Good,F,I1,57.7,67.8,20654,20.96,20.72,12.09
0.65,Very Good,F,SI2,57.5,61.0,2107,2.74,2.73,1.58
3.32,Good,F,VVS2,61.4,56.8,19130,18.54,18.52,11.38
1.69,Premium,D,I1,64.3,69.9,9143,10.83,10.61,6.96
1.44,Very Good,I,SI2,60.9,67.5,9676,8.72,8.74,5.31
0.52,Fair,J,SI2,62.3,52.2,1867,3.22,3.19,2.01
2.91,Premium,D,VS2,61.8,65.9,9897,19.84,19.84,12.26
0.74,Very Good,D,VS2,61.6,56.3,3237,5.16,5.21,3.18
1.54,Good,I,VVS1,57.1,63.7,9413,9.97,10.15,5.69
0.4,Good,D,VVS2,62.8,52.4,2256,1.76,1.74,1.11
1.92,Fair,I,VVS2,55.7,57.3,8188,10.73,10.61,5.98
1.33,Very Good,H,SI2,58.4,57.4,4892,9.13,8.97,5.33
2.56,Very Good,E,I1,63.8,59.8,7866,14.21,14.24,9.07
2.54,Very Good,D,SI2,59.1,65.3,14488,17.62,17.54,10.41
2.98,Fair,D,I1,58.3,51.5,10976,15.6,15.75,9.09
2.14,Good,F,VVS2,58.4,68.1,9644,9.1,9.18,5.31
3.2,Fair,I,VS2,61.6,62.7,9705,13.38,13.62,8.24
0.28,Very Good,G,VVS1,57.8,65.5,1711,1.88,1.85,1.09
2.01,Good,G,VVS2,62.4,61.6,12509,11.95,11.97,7.46
1.85,Fair,E,VS1,58.8,58.1,11415,12.55,12.48,7.38
1.23,Premium,J,IF,59.8,65.1,6670,6.85,6.74,4.1
2.31,Good,H,SI1,56.9,57.4,7588,10.65,10.76,6.06
2.77,Premium,D,VVS2,58.8,52.0,9613,13.8,13.69,8.11
2.82,Ideal,J,IF,62.8,63.8,18414,18.75,18.97,11.78
2.33,Ideal,E,SI2,60.1,61.5,6773,15.33,15.2,9.21
2.1,Good,H,SI2,64.5,55.3,10011,13.49,13.64,8.7
0.62,Good,D,VS1,64.4,56.3,3808,3.84,3.85,2.47
1.7,Very Good,I,IF,64.4,65.8,5230,9.42,9.33,6.07
1.02,Fair,H,VVS2,63.7,59.9,5612,6.3,6.31,4.01
1.03,Very Good,J,I1,61.6,51.4,4496,4.46,4.54,2.75
0.25,Very Good,F,VVS1,57.8,51.6,1386,1.18,1.18,0.68
3.03,Good,G,VS2,64.2,62.7,15557,15.02,15.18,9.64
1.26,Fair,I,IF,55.4,61.3,8177,6.17,6.13,3.42
3.44,Ideal,D,VVS2,62.1,50.0,17614,17.39,17.24,10.8
2.82,Ideal,G,VVS1,61.5,67.5,12089,13.63,13.53,8.38
3.4,Very Good,I,SI1,60.6,53.5,22750,21.46,21.72,13.0
1.71,Very Good,J,SI1,57.3,66.8,8004,9.21,9.1,5.28
0.87,Very Good,I,VS1,56.3,53.0,1862,5.9,5.85,3.32
1.63,Very Good,G,VVS2,59.3,69.0,7200,7.9,7.84,4.68
2.64,Good,J,VVS1,64.7,58.5,10751,16.47,16.61,10.66
2.0,Ideal,H,SI1,58.4,51.8,7999,8.21,8.37,4.79
0.55,Fair,E,VVS1,62.4,52.6,2120,2.44,2.47,1.52
2.76,Premium,H,I1,56.4,51.0,15599,17.43,17.19,9.83
2.92,Fair,F,I1,60.7,57.0,16139,12.34,12.27,7.49
3.42,Ideal,J,VS1,60.0,51.5,9320,14.28,14.18,8.57
1.95,Good,H,I1,55.3,64.4,8052,12.56,12.55,6.95
1.98,Fair,D,IF,61.6,56.2,11699,10.42,10.56,6.42
3.15,Ideal,G,VVS1,64.3,60.1,12261,18.13,17.84,11.66
2.43,Very Good,E,VVS1,58.1,50.5,7436,12.03,11.92,6.99
3.36,Ideal,D,IF,63.8,66.9,18051,18.34,18.25,11.7
2.42,Premium,E,SI2,57.4,56.9,14881,9.86,9.71,5.66
1.97,Fair,D,VVS2,60.7,61.3,13234,10.4,10.5,6.31
0.27,Very Good,G,VVS2,58.6,51.8,1933,1.79,1.77,1.05
3.14,Premium,D,VS1,64.2,52.9,12802,20.63,20.31,13.24
1.75,Very Good,I,VVS1,59.0,54.5,7599,8.33,8.42,4.91
2.0,Fair,G,VVS2,55.0,55.1,13079,13.47,13.53,7.41
2.01,Very Good,G,SI1,58.6,60.5,12548,11.44,11.38,6.7
0.27,Premium,D,SI2,55.8,52.8,498,1.1,1.09,0.61
0.81,Fair,D,VVS1,57.5,54.5,5456,3.89,3.84,2.24
3.03,Premium,J,VS2,57.6,60.1,17939,15.63,15.6,9.0
3.09,Fair,E,SI1,55.8,60.4,20603,12.46,12.39,6.95
2.02,Very Good,H,VS1,55.1,67.7,5206,11.48,11.53,6.33
1.23,Very Good,D,SI2,62.1,52.1,8493,7.41,7.34,4.6
1.99,Ideal,F,SI1,56.9,57.6,8369,12.29,12.21,6.99
3.36,Very Good,F,VS2,58.9,55.6,22693,19.46,19.7,11.46
0.36,Premium,H,SI1,59.8,59.5,1585,2.06,2.06,1.23
3.46,Premium,H,VVS1,56.2,57.8,22910,22.97,23.16,12.91
1.15,Very Good,D,SI1,56.9,63.1,4931,6.28,6.4,3.57
0.84,Ideal,E,VS2,64.7,59.6,2353,3.64,3.57,2.36
0.61,Fair,G,SI2,59.6,62.6,1942,2.81,2.77,1.67
0.74,Very Good,H,I1,63.4,62.6,4628,4.84,4.81,3.07
1.69,Fair,E,SI1,56.9,52.6,7298,9.2,9.25,5.23
1.8,Very Good,F,VS2,59.9,58.5,4852,9.48,9.37,5.68
1.51,Very Good,I,VVS1,56.6,53.3,8281,8.26,8.38,4.68
3.26,Premium,G,I1,60.5,68.8,10984,21.55,21.44,13.04
0.39,Ideal,H,SI2,64.8,61.9,1801,1.82,1.85,1.18
0.85,Premium,H,VVS2,63.6,68.7,3671,4.93,5.0,3.14
3.31,Premium,D,IF,58.8,68.1,10858,13.4,13.28,7.88
1.19,Premium,G,IF,58.2,63.2,3943,7.21,7.25,4.2
2.21,Premium,J,IF,57.3,58.3,9668,14.63,14.53,8.38
0.42,Ideal,G,SI1,58.8,62.6,1224,2.69,2.74,1.58
3.15,Very Good,E,IF,64.9,67.2,13379,20.29,20.08,13.17
1.73,Ideal,H,VVS2,61.7,67.0,10570,10.72,10.7,6.61
1.91,Fair,F,VS2,62.3,57.7,7960,13.06,13.32,8.14
2.18,Good,G,IF,61.6,51.8,8637,12.52,12.74,7.71
1.05,Very Good,H,SI2,62.1,64.1,3207,5.0,4.96,3.1
1.65,Good,D,VS1,60.7,53.0,8570,9.55,9.43,5.8
1.14,Very Good,I,VS1,56.0,67.3,4218,7.27,7.36,4.07
0.84,Fair,F,I1,62.1,55.7,5416,4.27,4.25,2.65
1.04,Fair,H,VS2,56.1,61.8,3997,5.31,5.3,2.98
1.77,Good,E,VVS2,56.5,64.3,6790,12.38,12.22,6.99
1.14,Very Good,E,I1,56.5,60.5,6064,5.75,5.77,3.25
0.37,Good,F,VS2,60.0,57.4,1093,2.27,2.27,1.36
0.48,Very Good,H,SI2,57.5,52.8,2706,3.05,3.0,1.75
1.92,Premium,G,IF,59.8,62.3,10981,7.72,7.74,4.62
0.8,Ideal,D,VVS1,63.1,57.9,3610,4.86,4.9,3.07
2.48,Fair,J,VS2,60.8,51.0,16128,15.86,15.9,9.64
1.95,Premium,H,VVS1,62.3,57.1,8675,11.98,12.04,7.46
3.13,Good,F,VVS2,61.5,63.7,13212,13.01,13.12,8.0
0.65,Very Good,D,VS2,55.4,64.6,4382,3.32,3.37,1.84
1.0,Good,E,VVS1,60.9,51.9,5324,4.17,4.12,2.54
1.95,Fair,H,I1,60.0,61.7,11115,10.35,10.2,6.21
1.37,Fair,H,VVS1,58.5,59.5,7888,8.18,8.09,4.79
1.2,Premium,D,VS2,59.2,56.9,7345,6.56,6.67,3.88
1.88,Very Good,E,VS1,56.7,58.9,6060,11.97,11.76,6.79
2.94,Very Good,H,VS1,61.2,51.2,8187,20.38,20.6,12.47
2.17,Premium,E,SI1,63.8,60.2,11170,9.94,10.11,6.34
1.4,Good,H,SI1,58.7,68.7,7840,7.28,7.24,4.27
2.28,Very Good,G,IF,58.0,50.1,7881,15.16,14.86,8.79
0.99,Good,H,VS1,55.5,69.0,4218,6.41,6.3,3.56
1.59,Good,E,IF,57.4,65.0,8333,7.09,7.15,4.07
0.67,Premium,H,VS1,61.4,56.9,1903,4.55,4.55,2.79
3.27,Fair,F,VS2,63.3,58.9,17497,13.45,13.67,8.51
2.44,Fair,D,VVS1,62.3,66.5,8375,12.47,12.22,7.77
1.85,Good,F,SI2,58.7,59.7,9306,11.47,11.61,6.73
3.19,Premium,F,VVS1,58.7,67.6,10499,21.45,21.56,12.59
2.92,Premium,E,SI2,59.7,60.4,8523,18.4,18.6,10.98
2.73,Fair,G,I1,63.4,59.8,11015,14.16,14.41,8.98
0.95,Good,F,SI2,62.2,56.1,5614,4.59,4.63,2.85
3.4,Very Good,D,IF,56.1,61.9,16813,23.73,24.01,13.31
2.69,Ideal,G,VVS2,60.3,60.8,10413,13.79,13.95,8.32
0.29,Ideal,I,VVS2,56.4,56.1,1322,1.17,1.19,0.66
1.2,Ideal,E,VVS1,63.0,59.5,5455,7.95,7.85,5.01
2.66,Fair,H,VS2,62.6,51.7,14412,13.41,13.38,8.39
0.96,Fair,F,IF,57.6,53.6,6440,5.79,5.89,3.34
2.53,Premium,G,VS2,62.7,65.7,12867,14.36,14.53,9.0
1.89,Good,D,I1,61.6,67.5,8149,13.0,13.22,8.01
2.18,Fair,J,VS2,64.8,68.3,11186,13.64,13.49,8.84
2.6,Fair,D,SI1,58.2,50.6,12279,10.54,10.67,6.13
2.39,Very Good,J,SI2,59.3,61.7,10259,10.73,10.9,6.36
2.3,Ideal,I,SI1,61.8,52.9,7589,12.79,12.84,7.9
1.98,Ideal,G,SI2,57.4,60.2,7190,10.73,10.58,6.16
3.24,Very Good,H,VVS2,63.9,52.4,11437,14.16,13.98,9.05
1.88,Premium,G,VVS2,60.1,56.3,4710,8.67,8.81,5.21
3.07,Good,F,VVS2,56.7,67.4,18228,14.12,14.13,8.01
0.56,Premium,F,SI2,60.7,61.5,3146,3.0,3.05,1.82
1.48,Premium,H,VS1,59.9,50.0,9475,8.33,8.43,4.99
1.59,Good,D,VS1,58.7,66.0,6852,6.84,6.84,4.02
2.93,Ideal,H,SI1,61.1,64.4,11508,16.01,16.08,9.78
2.53,Ideal,E,SI2,57.5,51.1,9757,14.68,14.48,8.44
1.01,Good,H,VVS1,64.1,69.5,3717,4.54,4.46,2.91
0.34,Premium,G,VS2,60.5,57.8,2608,2.04,2.06,1.23
2.04,Good,I,VVS1,56.5,62.6,6006,12.23,12.38,6.91
1.92,Very Good,I,SI2,59.9,63.9,12487,11.27,11.31,6.75
2.93,Premium,H,VVS1,57.1,67.4,19717,14.34,14.55,8.19
1.83,Ideal,J,VVS1,56.2,57.9,7586,9.93,9.96,5.58
1.2,Good,E,SI2,55.0,54.6,4891,5.86,5.96,3.22
2.63,Premium,H,SI2,56.2,66.5,18150,16.29,16.11,9.15
1.48,Ideal,F,SI1,62.3,66.6,6040,7.96,8.06,4.96
1.46,Very Good,H,SI2,61.3,53.3,5794,6.49,6.5,3.98
0.64,Good,I,VVS2,63.3,63.8,3667,3.34,3.32,2.11
1.97,Fair,F,VS1,55.4,52.5,7556,12.94,12.87,7.17
2.14,Fair,I,VVS1,60.6,55.9,5836,11.02,10.95,6.68
2.05,Premium,D,VS1,60.1,58.6,6899,13.7,13.88,8.23
1.34,Fair,F,VS1,60.5,58.0,5956,8.09,8.25,4.89
1.63,Very Good,I,VS2,60.6,68.2,4744,9.32,9.2,5.65
2.5,Premium,I,VVS2,60.7,53.1,6178,15.81,15.9,9.6
1.52,Good,F,VS2,56.8,61.7,9731,9.53,9.52,5.41
1.33,Ideal,H,IF,57.2,51.5,7868,7.73,7.59,4.42
0.36,Fair,I,I1,60.6,50.7,2054,1.71,1.74,1.04
3.23,Ideal,D,IF,60.3,53.5,8641,16.54,16.49,9.97
2.79,Fair,I,VVS2,62.8,68.2,17959,18.36,18.4,11.53
1.27,Premium,G,VS2,57.4,59.2,7086,8.1,8.1,4.65
1.39,Very Good,E,VS2,63.1,58.4,3529,8.9,8.73,5.62
2.89,Premium,I,IF,60.3,69.2,11251,15.45,15.52,9.32
2.78,Good,H,VS1,57.5,61.5,7904,12.77,12.98,7.34
1.26,Good,F,VS2,62.4,64.6,6530,5.16,5.19,3.22
0.96,Very Good,F,VS2,61.1,55.5,6662,4.98,5.02,3.04
2.81,Premium,J,SI2,56.4,65.8,11405,15.76,15.73,8.89
0.99,Premium,D,VS1,64.5,59.3,3304,4.39,4.35,2.83
0.5,Very Good,E,VVS1,59.2,57.7,3207,2.95,2.91,1.75
0.96,Fair,G,VS2,64.4,64.9,4840,5.24,5.3,3.37
3.45,Very Good,E,VS2,55.1,66.2,10592,16.21,16.1,8.93
3.21,Fair,F,VVS2,57.1,58.3,17422,20.86,20.48,11.91
2.62,Fair,I,SI1,57.3,50.6,16686,16.76,16.8,9.6
1.84,Ideal,I,IF,61.8,62.6,11666,11.27,11.21,6.96
1.27,Very Good,F,VVS2,55.8,55.5,6894,7.73,7.66,4.31
2.14,Premium,F,VVS1,63.5,54.9,14399,13.92,13.97,8.84
0.72,Premium,H,IF,65.0,66.1,1946,4.38,4.36,2.85
1.11,Ideal,E,VS2,61.6,65.7,4739,6.09,6.02,3.75
2.24,Good,I,SI1,58.2,62.1,9368,13.4,13.56,7.8
3.32,Very Good,G,VVS2,64.3,51.7,23332,18.21,17.89,11.71
1.49,Ideal,G,SI2,62.3,59.2,8427,6.39,6.31,3.98
0.79,Fair,J,IF,59.3,53.5,4877,5.22,5.3,3.1
0.62,Premium,G,I1,57.2,53.7,3772,4.12,4.1,2.36
0.45,Fair,E,VS1,61.0,52.5,2877,2.28,2.25,1.39
0.23,Very Good,D,I1,64.7,66.8,1505,1.29,1.31,0.83
2.13,Fair,I,I1,58.3,55.2,6002,9.76,9.79,5.69
1.03,Fair,H,VVS2,58.7,53.3,5699,6.63,6.51,3.89
2.31,Very Good,G,SI1,58.4,63.9,14265,13.79,13.68,8.05
0.86,Very Good,G,VVS2,63.6,67.9,4611,5.09,5.09,3.24
3.24,Premium,H,I1,59.7,65.7,14340,17.32,17.64,10.34
0.75,Ideal,I,VS1,56.2,69.1,2084,4.43,4.35,2.49
